customer_id,first_name,last_name,billing_address,shipping_address,contact_number,order_id
1,Russell,Oconnell,"45154 Hammond Hill Apt. 522
Rochastad, MH 06955","941 Sara Overpass
Lake Melissa, MA 43642",499883770,792
2,Lauren,Lee,"2608 Graves Lodge Suite 422
Monicashire, ND 42622","8299 April Avenue
Scottville, IL 07888",4384862203,631
3,Jose,Jenkins,"995 Dawn Crossroad Apt. 089
Lake Margaret, MO 92980","325 Robert Islands Suite 076
Franciscotown, PA 32776",5260590091,27
4,Patricia,Mcintosh,"1956 Allen Street Suite 474
Williamsmouth, ID 97548","8529 David Falls
West Joshuamouth, MO 90123",225883021,561
5,Paula,Russell,"278 Crystal Street Apt. 626
West Matthew, AZ 46738","30899 Burns Mews
New Ryan, AZ 05038",6258172885,277
6,Amy,Anderson,"35828 Gardner Spurs
Amymouth, NH 32362","8893 Murphy Fields
Reginachester, MP 75528",5715097411,864
7,Dawn,Jones,"28296 Middleton Mission
Sherryshire, RI 89969","2568 Schultz Keys Apt. 283
Port Kimberlyborough, DE 37237",6095236797,349
8,Lisa,Arellano,"5615 Joshua View
East Edwinton, CT 95847","1320 Tamara Circle
East Austinbury, MN 57026",5998090540,59
9,Bruce,Scott,"904 Rivera Plain
North Molly, IL 19215","5708 Phillip Plain
Christinashire, CT 28061",2372329787,854
10,Jerry,Contreras,"3283 Jenkins River
Port Christianton, NE 22418","1023 Alexander Square Suite 529
North Saraside, RI 62292",1976821346,419
11,Joshua,Romero,"33920 Robert Walks Apt. 726
Shannonbury, VA 20050","18008 Webster Lights
Ritafort, WV 40903",273207384,593
12,Jeremy,Drake,"5027 Dana Mountains
West Nancystad, IN 57412","41460 Christopher Row Suite 921
South Brooke, DE 96723",2583119849,10
13,Brian,Jones,"802 Price Creek
North Josephburgh, MS 68654","99714 Sarah Ports
Lynntown, ND 82552",6529360932,489
14,Alexander,Thomas,"9033 Craig Heights Apt. 781
Thomasshire, DE 20468","854 Kevin Junctions
Susanfort, MH 17855",6500935869,413
15,Chelsea,Wilson,"USS Espinoza
FPO AP 66375","617 Maldonado Expressway Suite 449
Alvaradofort, UT 59140",6663607558,903
16,Charles,Weber,"459 Ferrell Branch Apt. 034
Williamsside, MN 03401","Unit 6065 Box 6975
DPO AP 86481",9230123159,318
17,Scott,Rodriguez,"462 Fred Court Suite 074
Danielleton, GU 31482","9701 David Course
Joelland, AR 21442",2623484324,815
18,Brian,Wagner,"7970 Torres Drives
New Matthew, AL 33931","006 Murphy Overpass
Loganville, PA 59845",923898575,212
19,Brooke,Jones,"300 Gerald Roads
North Zacharyfurt, NC 92681","9796 Curtis Ports
Lake Ashleyfurt, KS 10788",1467935013,13
20,Cathy,Hines,"36478 Garcia Way Suite 487
South Dylanland, OH 66676","3109 Shane Dale
Taylorchester, TX 93363",1888440394,597
21,Dennis,Walters,"13613 Hansen Burg
West Stacey, OK 29597","46393 Davis Ridges Apt. 994
North Robert, ID 73093",1761202951,302
22,Rachel,Marsh,"65387 Gina Isle Apt. 362
South Candaceview, MP 25019","511 Oliver Hollow Suite 779
Travismouth, CT 58480",7621897817,896
23,Ricardo,Hamilton,"29150 Alexander Pike Apt. 897
Jasonberg, KY 11894","9458 Kim Mews
South Vanessachester, OH 52747",9024646605,47
24,Chase,Moore,"8240 Maxwell Unions Suite 869
South Deborahville, KS 20306","080 Erica Estate Apt. 555
South Timothytown, TN 97861",1025992157,339
25,Joseph,Bailey,"94274 James Ridge
New Anna, MP 54659","25893 Wood Lodge
West Deanstad, MP 75662",371164112,230
26,Ashley,Morton,"PSC 3945, Box 2212
APO AA 99445","64598 Johnson Park
Jasonport, WV 61722",903624144,780
